...1,prediction,pmax,class_1,class_2,class_3,class_4,class_5,image_index,embryo_index,file
0,1,0.99264574,0.0018980736,0.99264574,4.1617063e-4,1.5573956e-4,0.004884259,0,0,pCas13d_c1_4hpf_rep1
1,1,0.93250585,0.01200542,0.93250585,0.0018512392,0.0013640278,0.052273564,1,0,pCas13d_c1_4hpf_rep1
2,1,0.9770594,0.006545066,0.9770594,0.0026590005,0.0010135514,0.0127229765,2,0,pCas13d_c1_4hpf_rep1
3,1,0.9936805,0.0038757515,0.9936805,6.3405384e-4,9.7672724e-5,0.0017119144,3,0,pCas13d_c1_4hpf_rep1
4,1,0.9852196,0.002735763,0.9852196,0.0013218044,5.410531e-4,0.010181718,4,0,pCas13d_c1_4hpf_rep1
5,1,0.9933456,0.0029725828,0.9933456,0.0011573108,2.2390661e-4,0.0023006196,5,0,pCas13d_c1_4hpf_rep1
6,1,0.77804905,0.009127854,0.77804905,0.012179679,0.002470637,0.19817288,6,0,pCas13d_c1_4hpf_rep1
7,1,0.98039585,0.009068346,0.98039585,0.0013262698,5.1975425e-4,0.00868977,7,0,pCas13d_c1_4hpf_rep1
8,1,0.9905906,0.0032806727,0.9905906,0.0010440319,3.157763e-4,0.0047689257,8,0,pCas13d_c1_4hpf_rep1
9,1,0.98307323,0.009043453,0.98307323,0.0020931016,9.497671e-4,0.0048405007,9,0,pCas13d_c1_4hpf_rep1
10,1,0.98802525,0.0033831391,0.98802525,0.0016518622,3.075877e-4,0.0066320314,10,0,pCas13d_c1_4hpf_rep1
11,1,0.93878716,0.002136812,0.93878716,0.0016197012,2.1875424e-4,0.057237472,11,0,pCas13d_c1_4hpf_rep1
12,1,0.97208315,0.007747705,0.97208315,0.003241793,8.6836575e-4,0.016058987,12,0,pCas13d_c1_4hpf_rep1
13,4,0.7441904,0.002628242,0.22919185,0.022493932,0.0014955425,0.7441904,13,0,pCas13d_c1_4hpf_rep1
14,1,0.98703706,0.004996601,0.98703706,0.0015172298,6.0494605e-4,0.005844154,14,0,pCas13d_c1_4hpf_rep1
15,1,0.91900635,0.0039211717,0.91900635,0.0011486724,3.0381267e-4,0.07562002,15,0,pCas13d_c1_4hpf_rep1
16,1,0.83262527,0.00858818,0.83262527,0.007884494,0.002878789,0.14802332,16,0,pCas13d_c1_4hpf_rep1
17,1,0.9762221,0.004375274,0.9762221,0.0010677524,7.4959936e-4,0.017585365,17,0,pCas13d_c1_4hpf_rep1
18,0,0.9848334,0.9848334,0.005145494,0.0014014754,0.001359621,0.007260141,0,1,znf_g1_2hpf_rep1
19,0,0.992919,0.992919,0.0059123673,1.0864016e-4,1.0477777e-4,9.5520914e-4,1,1,znf_g1_2hpf_rep1
20,0,0.96071213,0.96071213,0.034936216,0.0010821408,4.7166296e-4,0.0027979175,2,1,znf_g1_2hpf_rep1
21,0,0.9952739,0.9952739,0.0021594265,1.7993811e-4,1.6312177e-4,0.0022235694,3,1,znf_g1_2hpf_rep1
22,0,0.9333555,0.9333555,0.05416252,0.0032040202,0.002070009,0.007208008,4,1,znf_g1_2hpf_rep1
23,0,0.9477202,0.9477202,0.050728265,3.292296e-4,2.393075e-4,9.829715e-4,5,1,znf_g1_2hpf_rep1
24,0,0.96847636,0.96847636,0.02510661,3.6369328e-4,1.8810443e-4,0.0058653117,6,1,znf_g1_2hpf_rep1
25,0,0.9954098,0.9954098,0.003988862,6.114163e-5,4.3944146e-5,4.963487e-4,7,1,znf_g1_2hpf_rep1
26,0,0.9887249,0.9887249,0.0017840124,1.1289222e-4,1.4536736e-4,0.009232797,8,1,znf_g1_2hpf_rep1
27,0,0.97406435,0.97406435,2.203162e-4,6.378755e-5,3.094587e-4,0.025342178,9,1,znf_g1_2hpf_rep1
28,0,0.99428165,0.99428165,0.003591109,5.4957534e-5,4.9171194e-5,0.0020229975,10,1,znf_g1_2hpf_rep1
29,0,0.99505377,0.99505377,0.002771356,1.6167373e-4,1.2560988e-4,0.0018875473,11,1,znf_g1_2hpf_rep1
30,0,0.9901681,0.9901681,0.0042926194,4.643562e-4,4.0583024e-4,0.004669031,12,1,znf_g1_2hpf_rep1
31,0,0.99031466,0.99031466,0.00233251,2.3986788e-5,2.8228807e-5,0.0073006526,13,1,znf_g1_2hpf_rep1
32,0,0.9557785,0.9557785,0.013403942,8.323466e-4,2.1482323e-4,0.029770415,14,1,znf_g1_2hpf_rep1
33,0,0.8191429,0.8191429,0.02574102,0.0010142018,3.303125e-4,0.15377165,15,1,znf_g1_2hpf_rep1
34,0,0.96653795,0.96653795,0.021170821,1.6042987e-4,1.7442137e-4,0.011956436,16,1,znf_g1_2hpf_rep1
35,0,0.99066585,0.99066585,0.0085926885,7.172435e-5,1.642323e-5,6.533613e-4,17,1,znf_g1_2hpf_rep1
36,0,0.98061097,0.98061097,0.013786483,5.106019e-4,2.4960522e-4,0.004842345,18,1,znf_g1_2hpf_rep1
37,0,0.80367696,0.80367696,0.0122249955,0.0018991427,0.0017900727,0.18040884,19,1,znf_g1_2hpf_rep1
38,0,0.9895648,0.9895648,0.0066200863,2.060906e-4,2.007098e-4,0.0034083393,20,1,znf_g1_2hpf_rep1
39,0,0.94233924,0.94233924,0.0035598562,2.925575e-4,5.959377e-4,0.053212445,21,1,znf_g1_2hpf_rep1
40,0,0.96369106,0.96369106,0.024889752,0.0014767135,7.512573e-4,0.009191312,22,1,znf_g1_2hpf_rep1
41,0,0.99634093,0.99634093,0.0020539549,1.5649144e-4,6.2147155e-5,0.0013864646,23,1,znf_g1_2hpf_rep1
42,0,0.9472441,0.9472441,0.030726032,0.0020314774,0.0014023739,0.018596096,24,1,znf_g1_2hpf_rep1
43,0,0.98066,0.98066,0.011099411,9.5188787e-4,6.1157276e-4,0.006677231,25,1,znf_g1_2hpf_rep1
44,4,0.54063004,0.44496182,0.012232264,8.604975e-4,0.001315308,0.54063004,26,1,znf_g1_2hpf_rep1
45,0,0.9803129,0.9803129,0.016585534,1.8240885e-4,1.6968843e-4,0.0027494063,27,1,znf_g1_2hpf_rep1
