Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		Trypsin	7.19E+09	4.08E+09	7.33E+09	7.88E+09	4.90E+07	5.01E+08	1.14E+08	3.92E+08	3.22E+09	4.06E+09	3.62E+09	4.34E+09	4.90E+07	6.13E+08	7.53E+07	3.92E+08	0	2	2	1		5.173925557	1.077228243	8.335888901
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	Alpha-S1-casein	1.11E+07				262361.25												1	0	0	0	-5.603503031			
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	Albumin		1.65E+09	5.97E+07	1.20E+09		3.78E+08	1.20E+07	1.05E+08		4.16E+08	5.42E+07	2.75E+08		1.53E+08		1.92E+08	0	3	1	1		-1.802552613	-0.121324343	-0.660477046
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C								1606104									0	0	0	0				
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	6122635.5	1.94E+08		2.11E+08	7676784.5	1.96E+08		1.56E+08	7635183.5	2.70E+07		2.55E+07	1.45E+07	3.26E+07		2.33E+07	1	17	0	13	0.594733864	-0.048685955		-0.521218267
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	5.04E+07	6.42E+07	2.79E+07	5.90E+07	5.50E+07	3.92E+07	2.33E+07	3.84E+07	2.59E+07	2.17E+07	3.91E+07	2.75E+07	2.26E+07	1.28E+07	2.88E+07	1.64E+07	3	4	1	4	0.408930305	-0.151602584	-0.456447816	-0.470046027
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	1.15E+07	4953810.5	1.24E+07	3473919	6026402.5		1.01E+07		6736804	4953810.5	9674303	3473919	3717587		8188404.5		3	0	2	0	-0.636869826		-0.511512236	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1		2.45E+07		4.24E+07		1.89E+07		2.17E+07		1.07E+07		1.38E+07		8687320		1.16E+07	0	4	0	3		-0.36093869		-0.190117801
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A			1.41E+07	4730308			1.05E+07	2668532			1.41E+07	4730308			1.05E+07	2668532	0	0	1	1			-0.640635557	-0.618255985
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7565728	7366465	1.15E+07	1111963	7385069	7465206	8620314		3873181.5	7529726.5	6086084		3787762.5	7716952.5	4607804		2	1	2	0	0.232512099	0.224746053	-0.291141926	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2.90E+08	1.24E+07	1.39E+08	1.57E+07	2.40E+08	1.08E+07	1.12E+08	6590887	3.21E+07	8777791	3.06E+07	1.22E+07	2.15E+07	3787435.2	1.93E+07	5533546.5	19	2	10	2	-0.091084904	-0.610209714	-0.35804804	-0.893409068
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	"Threonine--tRNA ligase 2, cytoplasmic"	2887993.8		1581526.8		2399135		1279236.5		1959041.8		1581526.8		1294709.1		1279236.5		2	0	1	0	0.094434876		-0.180233507	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	4222262	6444153	1.20E+07	1848351	2730652.5	4093323	3063519.5	400320	4401052	4229372.5	4906111	3275456.2	2107265.8	2805888.8	2364141.8	2456431.2	1	2	1	1	-0.360385649	-1.065604232	-0.493714837	-1.999381382
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1		3.76E+07		3.34E+07		3.03E+07		9.47E+07		8671127		7530265		2.51E+07		3.93E+07	0	6	0	5		-0.585670662		0.141855346
sp|A4D0V7|CPED1_HUMAN	A4D0V7	CPED1_HUMAN	CPED1	Cadherin-like and PC-esterase domain-containing protein 1	4097496				1405176.6												1	0	0	0	-1.275606336			
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6.59E+07	3305826.5	3.06E+07	5932477	5.08E+07	3740531.2	2.76E+07	5048248	1.50E+07	6297768	1.29E+07	5132095.5	1.30E+07	6965972	9884346	5110893.5	4	1	2	2	-0.315375561	0.383768622	-0.296917036	-0.024628754
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3.90E+07	902220	3.42E+07		2.91E+07		1.12E+08		1.27E+07		1.11E+07		2.40E+07		3.05E+07		4	0	4	0	-0.305420934		0.195330448	
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13		814465.9	5897071.5			507064.75				814465.9	5897071.5						0	1	0	0		-0.478147776		
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	5.15E+08	8.26E+07	5.35E+08	1.46E+08	3.18E+08	7.89E+07	2.79E+08	8.56E+07	7.97E+07	4.89E+07	7.43E+07	4.67E+07	2.38E+07	1.83E+07	2.70E+07	1.41E+07	23	8	17	18	-0.225089634	0.025651185	-0.178466416	-0.407886247
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	7576267.5	9.79E+07		1.66E+08	6433029.5	3.07E+07		5.14E+07	1.95E+07	5.43E+07		6.75E+07	6433029.5	1.82E+07		2.14E+07	1	2	0	3	0.032395642	-1.286495509		-0.057576648
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase			7391889.5				3054571										0	0	1	0			-1.574935819	
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	1.04E+07			5724524	1.16E+07												1	0	0	0	0.423385312			
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	9996144	1.97E+08	2182385.5	1.76E+08	6321095.5	1.70E+08	3.73E+07	1.04E+08	5769816	2.36E+07	5190689	1.68E+07	9363339	3.88E+07	1.04E+07	2.40E+07	2	13	1	9	-0.735216371	-0.04581341	-2.195124711	-0.392547009
